"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Nilaish N.; Tiwari B.","Nilaish, Nilaish (57269751700); Tiwari, Bhupendra (59462133700)","57269751700; 59462133700","Artificial intelligence applications in supply chain risk management for reliable operations","2025","Risk, Reliability and Resilience in Operations Management","","","","183","200","0","10.1016/B978-0-443-29812-7.00009-7","https://www.scopus.com/pages/publications/105011224510?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105011224510"
"Agrawal K.; Kumar N.","Agrawal, Kushagra (58669364400); Kumar, Navneet (55220040100)","58669364400; 55220040100","AI-ML Applications in Agriculture and Food Processing","2025","Sustainable Development Goals Series","Part F102","","","21","37","6","10.1007/978-3-031-76758-6_2","https://www.scopus.com/pages/publications/86000497751?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-86000497751"
"Shen R.; Zhou F.; Ye X.; Zhong L.; Feng S.","Shen, Ruilin (59325254800); Zhou, Fuken (57202399093); Ye, Xiaoying (57989758300); Zhong, Lun (59326313500); Feng, Siyuan (59325782400)","59325254800; 57202399093; 57989758300; 59326313500; 59325782400","Research on the application of artificial intelligence technology in supply chain management","2024","E3S Web of Conferences","565","","03017","","","1","10.1051/e3sconf/202456503017","https://www.scopus.com/pages/publications/85203847623?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85203847623"
"Murungu E.","Murungu, Edwick (59449996700)","59449996700","Generative AI and Trade in Africa: Opportunities and Challenges","2025","OIDA International Journal of Sustainable Development","18","2","","29","40","5","","https://www.scopus.com/pages/publications/85213537494?origin=resultslist","Article","Final","","Scopus","2-s2.0-85213537494"
"Gummadi V.; Sayana R.","Gummadi, Venkata (59420736400); Sayana, Raghavendra (59546572000)","59420736400; 59546572000","Data science applications in sustainable supply chain","2025","AI-Enabled Sustainable Innovations in Education and Business","","","","299","318","0","10.4018/979-8-3373-3952-8.ch013","https://www.scopus.com/pages/publications/105005134593?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105005134593"
"Ahtasham Mushtaq M.; Anis Noor M.; Santillo L.C.; Verde R.","Ahtasham Mushtaq, M. (59965221000); Anis Noor, M. (59966171500); Santillo, Liberatina Carmela (6508303532); Verde, Raffaele (59500812600)","59965221000; 59966171500; 6508303532; 59500812600","Implementing AI for Dynamic Demand Forecasting in Lean Healthcare Logistics: A Case Study Approach","2025","Lecture Notes in Bioengineering","","","","269","282","0","10.1007/978-3-031-82923-9_26","https://www.scopus.com/pages/publications/105009228681?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105009228681"
"Didwania R.; Mishra S.K.; Shukla S.; Verma R.; Dhanda N.","Didwania, Rishabh (59258444400); Mishra, Sanat Kumar (59545145000); Shukla, Satvik (59472137200); Verma, Rajat (57225817328); Dhanda, Namrata (55440790600)","59258444400; 59545145000; 59472137200; 57225817328; 55440790600","Role of AI in Supply Chain Management and Bio-Informatics Sector","2025","The Confluence of Cryptography, Blockchain and Artificial Intelligence","","","","137","163","0","10.1201/9781032711515-7","https://www.scopus.com/pages/publications/105001884573?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105001884573"
"Vijayakumar K.; Anto Gracious L.A.","Vijayakumar, K. (59171881200); Anto Gracious, L.A. (38661095100)","59171881200; 38661095100","Optimizing Demand Forecasting and Inventory Management With AI-Driven Solutions","2024","Innovations in Green and Energy-Efficient Warehousing","","","","111","134","0","10.4018/979-8-3373-3176-8_5","https://www.scopus.com/pages/publications/105027486723?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105027486723"
"Jabri N.; Benzakour I.; Kortbi H.E.; Daoud M.","Jabri, Nada (59931134500); Benzakour, Imane (60320808800); Kortbi, Hajar El (60609402900); Daoud, Miloud (57483956300)","59931134500; 60320808800; 60609402900; 57483956300","Generative AI in startup supply chains: A literature review on forecasting, inventory, and entrepreneurial performance","2025","2025 IEEE International Conference on Advanced Technologies in Supply Chain Management, ATSCM 2025","","","","","","0","10.1109/ATSCM67505.2025.11473652","https://www.scopus.com/pages/publications/105037447626?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105037447626"
"Selvakumar S.; Renugadevi G.; Vinishah N.; Yashwanth R.","Selvakumar, S. (57210765845); Renugadevi, G. (57224323737); Vinishah, N. (59209827300); Yashwanth, R. (59210893500)","57210765845; 57224323737; 59209827300; 59210893500","Sales Forecasting Based on Time Series Analysis","2024","Proceedings of 2024 International Conference on Science, Technology, Engineering and Management, ICSTEM 2024","","","","","","3","10.1109/ICSTEM61137.2024.10560659","https://www.scopus.com/pages/publications/85197917609?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85197917609"
"Nabli H.; Ghannem A.; Djemaa R.B.; Sliman L.","Nabli, Hajer (57194511675); Ghannem, Abir (58889623700); Djemaa, Raoudha Ben (25823067800); Sliman, Layth (26025392800)","57194511675; 58889623700; 25823067800; 26025392800","How innovative technologies shape the future of pharmaceutical supply chains","2025","Computers and Industrial Engineering","199","","110745","","","10","10.1016/j.cie.2024.110745","https://www.scopus.com/pages/publications/85210135452?origin=resultslist","Short survey","Final","","Scopus","2-s2.0-85210135452"
"Kiranmai M.V.S.V.; Panduro-Ramirez J.; Dhyani A.; Reddy G.S.; Al-Taee M.; Alazzam M.B.","Kiranmai, M.V.S.V. (57208421913); Panduro-Ramirez, Jeidy (57219417524); Dhyani, Anubhuti (58237504300); Reddy, G. Swamy (55322883800); Al-Taee, Mustafa (58733799600); Alazzam, Malik Bader (56814920200)","57208421913; 57219417524; 58237504300; 55322883800; 58733799600; 56814920200","The Impact of Machine Learning (ML) Optimization of supply chain management domain","2023","2023 3rd International Conference on Advance Computing and Innovative Technologies in Engineering, ICACITE 2023","","","","932","936","5","10.1109/ICACITE57410.2023.10182817","https://www.scopus.com/pages/publications/85178298993?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85178298993"
"Bajaj P.; Kumar L.; Anuradha; Nainwal A.; Muni K.M.; Singh M.","Bajaj, Parveen (57192098362); Kumar, Lalit (59406914300); Anuradha (60609683200); Nainwal, Ankita (57960482800); Muni, Kumari Mayko (59942675200); Singh, Manmohan (57199045242)","57192098362; 59406914300; 60609683200; 57960482800; 59942675200; 57199045242","AI-Powered Inventory Management: Enhancing Forecast Accuracy and Operational Efficiency in Modern Supply Chains","2025","Proceedings - 2025 IEEE 1st International Conference on Smart Innovations in Systems, Infrastructure, Mechanical, Power, AI and Computing Technologies, SISIMPACT 2025","","","","541","547","0","10.1109/SISIMPACT67725.2025.11439051","https://www.scopus.com/pages/publications/105037431163?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105037431163"
"Alzoubi H.M.; Tan C.L.; Alfalasi H.; Alrababah H.; Momani H.R.; Warrad L.; Masoud K.","Alzoubi, Haitham M. (57195353015); Tan, Cheng Ling (50862176100); Alfalasi, Hamad (58763852200); Alrababah, Hamza (57373651800); Momani, Hazim Ryad (60656582800); Warrad, Lina (57214222723); Masoud, Kahled (60656075100)","57195353015; 50862176100; 58763852200; 57373651800; 60656582800; 57214222723; 60656075100","AI for Efficient Warehouse Management in Supply Chains","2025","2025 International Conference on Business Intelligence for Technology Innovation, ICBITI 2025","","","","","","0","10.1109/ICBITI65527.2025.11501022","https://www.scopus.com/pages/publications/105040557138?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105040557138"
"Berbiche N.; Hlyal M.; Alami J.E.","Berbiche, Nawfal (57217603372); Hlyal, Mustapha (56523339000); Alami, Jamila El (55987066300)","57217603372; 56523339000; 55987066300","Enhancing Supply Chain Resilience and Efficiency through Fuzzy Logic-based Decision-Making Automation in Volatile Environments","2024","Ingenierie des Systemes d'Information","29","1","","191","203","14","10.18280/isi.290120","https://www.scopus.com/pages/publications/85188218422?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188218422"
"AL-Obaidly G.A.","AL-Obaidly, Ghoson Abdulaziz (58693541000)","58693541000","Challenges and Opportunities in AI-Driven Supply Chain Sustainability: A Review Article","2025","World Sustainability Series","Part F1151","","","339","354","1","10.1007/978-3-032-00098-9_28","https://www.scopus.com/pages/publications/105022126585?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105022126585"
"Tsintotas K.A.; Moutsis S.N.; Kansizoglou I.; Konstantinidis F.K.; Gasteratos A.","Tsintotas, Konstantinos A. (57204057583); Moutsis, Stavros N. (58624149000); Kansizoglou, Ioannis (57212487280); Konstantinidis, Fotios K. (57221260835); Gasteratos, Antonios (6701673537)","57204057583; 58624149000; 57212487280; 57221260835; 6701673537","The Advent of AI in Modern Supply Chain","2025","Communications in Computer and Information Science","2110 CCIS","","","333","343","3","10.1007/978-3-031-69344-1_25","https://www.scopus.com/pages/publications/85208223864?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85208223864"
"Zabraoui O.; Chafi A.; Alami S.K.","Zabraoui, Oussama (59940277500); Chafi, Anas (57193552929); Alami, Salaheddine Kammouri (23094092200)","59940277500; 57193552929; 23094092200","Integrating Artificial Intelligence in Supply Chain: Enhancements and Challenges","2025","2025 5th International Conference on Innovative Research in Applied Science, Engineering and Technology, IRASET 2025","","","","","","1","10.1109/IRASET64571.2025.11008164","https://www.scopus.com/pages/publications/105007786457?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105007786457"
"Ferreira A.C.A.; Francisco M.B.; Pinho A.F.D.","Ferreira, Ana Claudia Andrade (60078838000); Francisco, Matheus Brendon (57219553472); Pinho, Alexandre Ferreira De (24586945600)","60078838000; 57219553472; 24586945600","The Use of Artificial Intelligence in Supply Chain Management: Systematic Literature Review and Future Research Directions","2025","IEEE Access","13","","","157828","157841","6","10.1109/ACCESS.2025.3603866","https://www.scopus.com/pages/publications/105014622090?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105014622090"
"Vieira B.P.; Frazzon E.M.","Vieira, Brandow Padilha (60141532000); Frazzon, Enzo Morosini (35791521500)","60141532000; 35791521500","Application of Reinforcement Learning to Improve Finished Goods Inventory Management: A Systematic Review","2025","IFAC-PapersOnLine","59","10","","841","846","1","10.1016/j.ifacol.2025.09.143","https://www.scopus.com/pages/publications/105018802155?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018802155"
"Islam S.; Veronica B.; Thaseen S.","Islam, Shaziya (57204590669); Veronica, Benita (57211492275); Thaseen, Sumaiya (60422779300)","57204590669; 57211492275; 60422779300","The Smart Shift: Generative AI and the Rise of Human AI Productivity","2025","2025 International Conference on Computational Intelligence and Knowledge Economy, ICCIKE 2025","","","","427","432","0","10.1109/ICCIKE67021.2025.11318245","https://www.scopus.com/pages/publications/105032664195?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105032664195"
"Ahmed A.; Fahmy H.; Ragab M.; Askar N.; Gadallah Y.","Ahmed, Aya (60046456500); Fahmy, Hana (60519249800); Ragab, Mostafa (60519608800); Askar, Noran (60519339700); Gadallah, Yasser (24780502000)","60046456500; 60519249800; 60519608800; 60519339700; 24780502000","A Novel AI-based Smart Supply Chain Management System","2025","2025 7th Computing, Communications and IoT Applications Conference, ComComAp 2025","","","","56","63","0","10.1109/ComComAp68359.2025.11353151","https://www.scopus.com/pages/publications/105033482164?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105033482164"
"Bhat D.; Thorat N.; Sudheendra Mouli H.C.; Ganesha B.B.; Sutaria K.; Kannan S.","Bhat, Devidas (57210970005); Thorat, Ninad (60405165900); Sudheendra Mouli, H.C. (60405166000); Ganesha, B.B. (55316976400); Sutaria, Kamal (56600573200); Kannan, Sathish (57200582066)","57210970005; 60405165900; 60405166000; 55316976400; 56600573200; 57200582066","Digital Transformation in the Supply Chain: Leveraging AI and Blockchain for Operational Efficiency","2025","International Conference on Intelligent Communication Networks and Computational Techniques, ICICNCT 2025","","","","","","0","10.1109/ICICNCT66124.2025.11233126","https://www.scopus.com/pages/publications/105030439933?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105030439933"
"Eldred M.E.; Thatcher J.; Rehman A.; Gee I.; Suboyin A.","Eldred, Morgan Edward (57205442891); Thatcher, Jimmy (57205435009); Rehman, Abdul (57651349300); Gee, Ivan (57329917100); Suboyin, Abhijith (57203937073)","57205442891; 57205435009; 57651349300; 57329917100; 57203937073","Leveraging AI for Inventory Management and Accurate Forecast-An Industrial Field Study","2023","Society of Petroleum Engineers - SPE Symposium: Leveraging Artificial Intelligence to Shape the Future of the Energy Industry, AIS 2023","","","","","","22","10.2118/214457-MS","https://www.scopus.com/pages/publications/85147331960?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85147331960"
"Kanwal N.; Zhang M.; Zeb M.; Hussain M.; Wang D.","Kanwal, Nida (59301918300); Zhang, Min (36047275100); Zeb, Mustafa (59302002000); Hussain, Mudassar (58662995700); Wang, Dayuan (57306572700)","59301918300; 36047275100; 59302002000; 58662995700; 57306572700","Revolutionizing food safety in the airline industry: AI-powered smart solutions","2025","Trends in Food Science and Technology","159","","104970","","","10","10.1016/j.tifs.2025.104970","https://www.scopus.com/pages/publications/86000752458?origin=resultslist","Review","Final","","Scopus","2-s2.0-86000752458"
"Allam H.; Lazaro E.J.; Davison C.B.; Truell A.D.","Allam, Hesham (36447519700); Lazaro, Edward J. (60097538700); Davison, Christopher B. (57193506117); Truell, Allen D. (6505778678)","36447519700; 60097538700; 57193506117; 6505778678","Enhancing supply chain efficiency through AI-driven demand forecasting: a comprehensive analysis","2025","Issues in Information Systems","26","4","","65","77","0","10.48009/4_iis_2025_107","https://www.scopus.com/pages/publications/105015890207?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105015890207"
"Giaconia C.; Chamas A.","Giaconia, Cettina (6601963304); Chamas, Aziz (57698417500)","6601963304; 57698417500","MySTOCKS: Multi-Modal Yield eSTimation System of in-prOmotion Commercial Key-ProductS","2025","Computation","13","3","67","","","0","10.3390/computation13030067","https://www.scopus.com/pages/publications/105001119376?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105001119376"
"Sudha S.; Natarajan C.; Meenakshi K.; Saravanan A.; Seal S.; Sangeetha S.","Sudha, S. (57130359300); Natarajan, C. (57213874941); Meenakshi, K. (57200312751); Saravanan, A. (56681958500); Seal, Sudeshna (58851894100); Sangeetha, S. (57201067555)","57130359300; 57213874941; 57200312751; 56681958500; 58851894100; 57201067555","Optimizing Supply Chain Management Using Ensemble Learning-Based Predictive Analytics","2025","Proceedings of the 2025 3rd International Conference on Advances in Computation, Communication and Information Technology, ICAICCIT 2025","","","","450","454","0","10.1109/ICAICCIT68829.2025.11434307","https://www.scopus.com/pages/publications/105036174165?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105036174165"
"Dawi N.B.M.; Akhtar M.; Namazi H.","Dawi, Norazryana Binti Mat (56285352700); Akhtar, Mohammad (54882145600); Namazi, Hamidreza (55308641800)","56285352700; 54882145600; 55308641800","APPLICATION OF MATHEMATICAL MODELING IN SUPPLY CHAIN MANAGEMENT: A REVIEW","2025","Fractals","33","7","2530007","","","0","10.1142/S0218348X25300077","https://www.scopus.com/pages/publications/105010165143?origin=resultslist","Review","Final","","Scopus","2-s2.0-105010165143"
"Olasiuk H.; Kumar S.; Singh S.; Nagpal G.; Ganushchak T.","Olasiuk, Hanna (57208442647); Kumar, Sanjeev (58284989500); Singh, Sudhanshu (57200218253); Nagpal, Gaurav (57221603068); Ganushchak, Tetiana (57192700047)","57208442647; 58284989500; 57200218253; 57221603068; 57192700047","Exploring the Thematic Clusters of Artificial Intelligence Applications in Supply Chains Using Topic Modelling and Text Mining: A Machine Learning Insight","2023","Proceedings of the 4th IEEE International Conference on Smart Technologies in Computing, Electrical and Electronics, ICSTCEE 2023","","","","","","1","10.1109/ICSTCEE60504.2023.10584847","https://www.scopus.com/pages/publications/85199533481?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85199533481"
"Mustafa M.A.S.","Mustafa, Mustafa A. S. (57210825795)","57210825795","Predictive Reliability-Driven Optimization of Spare Parts Management in Aircraft Fleets Using AI, IoT, and Digital Twin Technologies","2025","Journal of Engineering Management and Systems Engineering","4","3","","218","236","7","10.56578/jemse040305","https://www.scopus.com/pages/publications/105026172823?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105026172823"
"Jaipuria S.; Mahapatra S.S.","Jaipuria, Sanjita (55888601800); Mahapatra, Siba Sankar (34881914000)","55888601800; 34881914000","A study on behaviour of bullwhip effect in (R, S) inventory control system considering DWT-MGGP demand forecasting model","2019","Journal of Modelling in Management","14","2","","385","407","12","10.1108/JM2-04-2018-0053","https://www.scopus.com/pages/publications/85061317349?origin=resultslist","Article","Final","","Scopus","2-s2.0-85061317349"
"Briatore F.; Vanni F.; Mosca R.; Mosca M.","Briatore, Federico (57870171600); Vanni, Francesca (59912742600); Mosca, Roberto (35846137900); Mosca, Marco (32367794300)","57870171600; 59912742600; 35846137900; 32367794300","Enhancing supply chain resilience: The impact of 4.0 technologies","2025","Journal of Transport and Supply Chain Management","19","","a1107","","","2","10.4102/jtscm.v19i0.1107","https://www.scopus.com/pages/publications/105007562695?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007562695"
"Kadam S.; Raj C.; Anawade P.; Sharma D.; Wanjari U.; Shirbhate J.; Pipare S.","Kadam, Shubham (59202919100); Raj, Chhitij (60099510900); Anawade, Pankajkumar (59259557300); Sharma, Deepak (58601890500); Wanjari, Utkarsha (60143747600); Shirbhate, Janhvi (60162728700); Pipare, Sharvari (60162910800)","59202919100; 60099510900; 59259557300; 58601890500; 60143747600; 60162728700; 60162910800","AI-Driven Optimization in Healthcare Supply Chains","2026","Lecture Notes in Networks and Systems","1461 LNNS","","","421","430","0","10.1007/978-981-96-7508-1_38","https://www.scopus.com/pages/publications/105020254252?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105020254252"
"Haddud A.","Haddud, Abubaker (57191597449)","57191597449","ChatGPT in supply chains: exploring potential applications, benefits and challenges","2024","Journal of Manufacturing Technology Management","35","7","","1293","1312","27","10.1108/JMTM-02-2024-0075","https://www.scopus.com/pages/publications/85195315311?origin=resultslist","Article","Final","","Scopus","2-s2.0-85195315311"
"Chowdhury S.; Mishra S.; Sharma N.; Reddy P.S.; Sharma Y.K.; Tyagi A.","Chowdhury, Soummya (59761904300); Mishra, Shobha (59810225500); Sharma, Neeraj (59894861600); Reddy, P. Srinivas (57823845500); Sharma, Yogesh Kumar (59559265300); Tyagi, Ayushi (58893570300)","59761904300; 59810225500; 59894861600; 57823845500; 59559265300; 58893570300","Machine Learning Models for Enhancing Time Series Demand Forecasting in Business Intelligence","2024","Proceedings of International Conference on Emerging Technologies and Innovation for Sustainability, EmergIN 2024","","","","78","84","4","10.1109/EmergIN63207.2024.10961109","https://www.scopus.com/pages/publications/105004643276?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105004643276"
"Samuels A.","Samuels, Alexander (59536943900)","59536943900","Examining the integration of artificial intelligence in supply chain management from Industry 4.0 to 6.0: a systematic literature review","2024","Frontiers in Artificial Intelligence","7","","1477044","","","62","10.3389/frai.2024.1477044","https://www.scopus.com/pages/publications/85216581349?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85216581349"
"Kumcu E.H.; Khanna M.; Khanna M.; Chand K.","Kumcu, Elif Hasret (59948672700); Khanna, Monika (58871115000); Khanna, Manisha (60601846100); Chand, Khem (56740517500)","59948672700; 58871115000; 60601846100; 56740517500","Smart Supply Chains: Leveraging AI and BI for Better Decision-Making in Logistics","2026","Transforming Financial Management with AI, BI, and Data-Driven Decision Making","","","","181","205","1","10.1108/978-1-80592-911-620261009","https://www.scopus.com/pages/publications/105039719185?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039719185"
"Sharma A.; Singh J.; Sharma P.; Kumar V.; Sharma M.; Singh R.","Sharma, Anshul (60174451600); Singh, Jagendra (56347348900); Sharma, Preeti (59067375600); Kumar, Vinish (57197697410); Sharma, Meenakshi (56287966900); Singh, Ramendra (57213969823)","60174451600; 56347348900; 59067375600; 57197697410; 56287966900; 57213969823","Applying Machine Learning and Swarm Optimization Techniques for Real-Time Decision-Making in Supply Chain Management","2026","Lecture Notes in Networks and Systems","1359 LNNS","","","79","93","2","10.1007/978-981-96-4933-4_7","https://www.scopus.com/pages/publications/105020754447?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105020754447"
"Kolasani S.","Kolasani, Saydulu (59153538800)","59153538800","Innovative Applications of AI for Sustainable Supply Chain Management in Environmental Conservation","2024","Artificial Intelligence and Machine Learning for Sustainable Development: Innovations, Challenges, and Applications","","","","158","171","2","10.1201/9781003497189-12","https://www.scopus.com/pages/publications/85210865295?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85210865295"
"Raikar T.; Ezeugboaja F.; Bussa S.; Upadhyay H.; Kalaru P.","Raikar, Trupti (60595317600); Ezeugboaja, Favour (60594639900); Bussa, Santhosh (59702621800); Upadhyay, Hemang (60595084900); Kalaru, Poojitha (60595317700)","60595317600; 60594639900; 59702621800; 60595084900; 60595317700","Ethics of AI-based supply chain optimization: a better balance between efficiency and fairness","2026","Future Technology","5","2","","281","296","0","10.55670/fpll.futech.5.2.26","https://www.scopus.com/pages/publications/105036512144?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105036512144"
"Messour M.; Fedouaki F.","Messour, Manar (59755196000); Fedouaki, Fayçal (57211627819)","59755196000; 57211627819","Enhancing the Reliability of Kanban Systems with AI Tools in the Automotive Sector: A Case Study","2025","Sustainable Civil Infrastructures","","","","521","529","0","10.1007/978-3-031-86705-7_49","https://www.scopus.com/pages/publications/105003633379?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105003633379"
"Allahham M.; Sharabati A.A.; Hatamlah H.; Ahmad A.Y.B.; Sabra S.; Daoud M.K.","Allahham, Mahmoud (58784860500); Sharabati, Abdel-Aziz Ahmad (35424614700); Hatamlah, Heba (57973379300); Ahmad, Ahmad Yahiya Bani (58480930900); Sabra, Samar (58694749800); Daoud, Mohammad Khalaf (58504819400)","58784860500; 35424614700; 57973379300; 58480930900; 58694749800; 58504819400","Big Data Analytics and AI for Green Supply Chain Integration and Sustainability in Hospitals","2023","WSEAS Transactions on Environment and Development","19","","","1218","1230","48","10.37394/232015.2023.19.111","https://www.scopus.com/pages/publications/85182981898?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182981898"
"Jauhar S.K.; Harinath S.; Krishnaswamy V.; Paul S.K.","Jauhar, Sunil Kumar (56022578600); Harinath, Susmitha (59383654700); Krishnaswamy, Venkataraghavan (56239600300); Paul, Sanjoy Kumar (9246007500)","56022578600; 59383654700; 56239600300; 9246007500","Explainable artificial intelligence to improve the resilience of perishable product supply chains by leveraging customer characteristics","2025","Annals of Operations Research","354","1","","103","142","18","10.1007/s10479-024-06348-z","https://www.scopus.com/pages/publications/85207350670?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85207350670"
"Kemmner G.-A.","Kemmner, Götz-Andreas (6505901837)","6505901837","Optimization of Product Availability and Detailed Resource Planning AI-based Supply Chain Management Delivers Much More Than Just Better Sales Fore-casts.; [Optimierung der Lieferfähigkeit und Feinplanung KI-Mechanismen im Supply Chain Management helfen nicht nur bei Absatzprognosen]","2022","ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb","117","3","","164","168","0","10.1515/zwf-2022-1033","https://www.scopus.com/pages/publications/85127148398?origin=resultslist","Article","Final","","Scopus","2-s2.0-85127148398"
"Ma X.; Zhao L.; Zhang L.; Chen X.","Ma, Xiang (57412908300); Zhao, Linlin (56701224100); Zhang, Liyuan (55976806500); Chen, Xiangjie (57437937300)","57412908300; 56701224100; 55976806500; 57437937300","The Impact of Artificial Intelligence-Enabled Supply Chain Management on Firm Performance: Evidence from Operational Efficiency and Risk Mitigation Mechanisms","2026","Proceedings of 2026 International Conference on Artificial Intelligence and Fintech, IC-AIF 2026","","","","261","265","0","10.1145/3800973.3801013","https://www.scopus.com/pages/publications/105039101428?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105039101428"
"Salaysay D.A.L.; De Vera V.J.D.; Sedilla R.B.; Lavadia L.L.A.; Buenavidez C.E.J.A.; Sunico V.A.J.C.; Alano W.A.L.","Salaysay, Dana Althea L. (60649670300); De Vera, Van Julian D. (60656032400); Sedilla, Raymond B. (59506283700); Lavadia, Lyeonna Lorisse A. (60656460800); Buenavidez, Czarina Erin Jan A. (60656086000); Sunico, Vince Alfred John C. (60656213100); Alano, Wyatt Ace L. (60656460900)","60649670300; 60656032400; 59506283700; 60656460800; 60656086000; 60656213100; 60656460900","Artificial Intelligence Algorithms in Optimization of Supply Chain Networks","2026","2026 International Conference on Advances in Artificial Intelligence and Machine Learning, AAIML 2026","","","","860","864","0","10.1109/AAIML67890.2026.11498185","https://www.scopus.com/pages/publications/105040550761?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105040550761"
"Onorio P.O.; Frazzon E.M.; Leusin M.E.; Cordes C.; Azevedo V.","Onorio, Pedro O. (60138128300); Frazzon, Enzo M. (35791521500); Leusin, Matheus E. (57203768307); Cordes, Christian (35581122700); Azevedo, Vitor (57183813100)","60138128300; 35791521500; 57203768307; 35581122700; 57183813100","Artificial Intelligence Supporting Human Intelligence: Impacts on Supply Chains of Small and Medium Enterprises","2026","Procedia Computer Science","277","","","2485","2494","0","10.1016/j.procs.2026.02.285","https://www.scopus.com/pages/publications/105040147307?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105040147307"
"Olatunji A.O.; Gyamfi L.N.; Abubakar S.A.; Mirambo J.B.; Kim K.; Jide-Jegede M.; Shehu T.S.; Giwa A.A.","Olatunji, Aishat Oluwatoyin (60586947300); Gyamfi, Lisa Nyarko (60587605500); Abubakar, Sadiq Adamu (60429277300); Mirambo, Juliet Bosibori (60587386400); Kim, Keon (60586284300); Jide-Jegede, Mofeoluwa (58979102900); Shehu, Titilayo Silifat (60587605600); Giwa, Abdussobur Adebayo (60586729600)","60586947300; 60587605500; 60429277300; 60587386400; 60586284300; 58979102900; 60587605600; 60586729600","A Deep Reinforcement Learning Framework for Dynamic Inventory Control and Cost Optimization under Demand Uncertainty","2026","IEEE Access","14","","","58800","58818","0","10.1109/ACCESS.2026.3683065","https://www.scopus.com/pages/publications/105036009357?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105036009357"
"Seknametla P.R.","Seknametla, Pruthvi Raj (60058914100)","60058914100","Autonomous cloud infrastructure in the food industry: Leveraging AI for intelligent orchestration and monitoring","2025","Modernizing the Food Industry: AI-Powered Infrastructure, Security, and Supply Chain Innovation","","","","121","144","0","10.4018/979-8-3373-5288-6.ch006","https://www.scopus.com/pages/publications/105013920410?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105013920410"
"Karropoulos E.; Psomiadi A.","Karropoulos, Eleftherios (60259781100); Psomiadi, Anastasia (59931206400)","60259781100; 59931206400","AI Development, Governance, and Regulation in Food Distribution","2026","Legal and Regulatory Impacts on AI Development","","","","95","116","0","10.4018/979-8-3373-7996-8.ch003","https://www.scopus.com/pages/publications/105037788030?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105037788030"
